Date,Time,Animal_ID,Use,D_forbs,Vegetation.cover,Vegetation.biomass,Heap.dung,Escape.impediment,Micro.habitat.type,Time_day,Season,NDVI,dNDVI,daily_rain,protection_gradient,proximity_confluence,Proximity_road,Proximity_drainage,Proximity_river,Proximity_multiplePAs,Proximity_CorePAs_edge,Elevation,slope,TWI,Curvature,Proximity_fence,Tourism_footprint,Human_footprint,woody_density,UTM_x,UTM_y
5/29/2019,8:30,El_6667,0,2.125,20,3.35E-05,4,0,Open woodland,Day,Dry,3.421427339,-0.001775838,0,17.07417465,3.24578732,1.021899999,1.243408132,10.33610558,16.39342055,16.39342055,1639.418579,1.084015413,10.84153175,1.60E-05,51940.46875,0.0173596,0.024045696,0.990777405,730492.5986,9765737.201
5/29/2019,20:31,El_6667,1,2,27.5,8.71E-05,0,0,Open woodland,Night,Dry,3.31979686,-0.009536669,0,16.39906122,4.021260001,0.230977997,0.399271966,11.34063759,16.45703556,16.45703556,1623.288086,0.946259845,11.68098354,-9.00E-06,51207.91016,0.02207059,0.025389228,1.130036132,730024.5996,9767028.205
5/29/2019,20:31,El_6667,0,1.125,5,7.68E-05,0,0,Open woodland,Night,Dry,3.308712095,0.000240825,0,16.91782046,3.742654196,0.337350588,0.554687912,10.94786874,16.6133879,16.6133879,1620.694214,0.92744193,10.5524931,-1.00E-05,51817.58984,0.01952663,0.025389228,1.325780824,730076.5985,9766286.203
5/29/2019,20:31,El_6667,0,2,2.5,6.46E-05,1,0,Open woodland,Night,Dry,3.450362474,-0.009439044,0,16.59762471,3.842234337,0.498549392,0.339831846,11.65365163,16.77049425,16.77049425,1614.250122,0.9445674,11.63367367,3.00E-06,51301.19922,0.02385911,0.025389228,1.135372327,729689.5989,9767070.205
5/29/2019,20:31,El_6667,0,0.5625,0,4.98E-05,0,0,Open woodland,Night,Dry,3.092657417,-0.003721274,0,16.11784244,4.09598036,0.732107317,0.844716687,11.76039487,16.48712598,16.48712598,1623.288086,0.946259845,11.63367367,-9.00E-06,50750.62109,0.0263611,0.025389228,1.823050699,729858.6001,9767574.206
5/29/2019,20:31,El_6667,0,1.125,17.5,1.81E-05,1,0,Open woodland,Night,Dry,3.247936726,-0.005240619,0,15.87606929,3.723748743,0.091876217,0.936519559,11.07889613,15.9318471,15.9318471,1623.288086,0.946259845,11.68098354,-9.00E-06,50713.03906,0.01985351,0.024045696,1.495878223,730494.6011,9767307.204
6/2/2019,16:31,El_6667,1,1.0625,15,5.27E-06,1,0,Open woodland,Day,Dry,3.693244576,0.000787303,0,15.73471989,4.026135984,3.311188363,0.652504789,14.18363827,17.55415947,17.55415947,1618.650146,0.419460397,12.38281059,1.30E-05,50096.16016,0.01931127,0.028051186,1.176431598,728435.6005,9769804.213
6/2/2019,16:31,El_6667,0,0.875,5,4.53E-05,3,0,Open woodland,Day,Dry,3.053767323,0.008818373,0,15.96096892,3.744963797,2.631113103,0.41361786,13.56617589,17.37173408,17.37173408,1602.534912,0.754664896,12.38281059,-1.50E-05,50327.05078,0.02391431,0.028051186,0.522458546,728692.5999,9769096.211
6/2/2019,16:31,El_6667,0,1.1875,10,4.53E-05,2,0,Open woodland,Day,Dry,3.601238608,0.009522989,0,16.11096037,3.754476616,3.840188085,0.909471161,14.75195435,18.11865224,18.11865224,1616.637451,0.386299454,12.1852169,2.20E-05,50222.62891,0.0181137,0.028051186,0.970353055,727856.5994,9769971.215
6/2/2019,16:31,El_6667,0,1.0625,6.25,1.08E-05,0,0,Open woodland,Day,Dry,3.785687983,0.006456591,0,15.35412664,3.438111392,4.091039111,1.551114843,14.87166769,17.67123672,17.67123672,1607.686646,0.768334016,11.60772514,-1.10E-05,49326.71875,0.01670687,0.028051186,0.87473254,728266.6016,9770720.216
6/2/2019,16:31,El_6667,0,1.0625,10,9.27E-06,0,0,Open woodland,Day,Dry,3.744809508,0.00856404,0,14.85875971,3.300340223,3.263565644,1.458947804,14.00844402,16.85189993,16.85189993,1625.962402,0.804607614,11.31300354,5.00E-06,49040.80078,0.01764744,0.028051186,0.751679234,729100.6029,9770379.214
6/13/2019,0:30,El_6661,1,0.3125,7.5,1.16E-05,3,0,Open woodland,Night,Dry,4.132197693,-0.003722802,1.297003508,5.485015406,3.848343114,0.650954301,0.501387492,10.91316829,9.230836908,9.230836908,1706.441528,0.418831066,13.5829525,1.70E-05,40224.37109,0.02367436,0.032195564,2.573205073,737129.6292,9775344.212
6/13/2019,0:30,El_6661,0,0.5625,45,4.53E-05,2,0,Open woodland,Night,Dry,4.168683857,-0.002238482,1.297003508,4.990958726,3.387479558,0.037698209,0.069787426,10.52416387,8.619405606,8.619405606,1696.104614,0.610387302,13.5829525,-1.80E-05,39800.28125,0.0283519,0.032195564,2.896680116,737754.6308,9775418.211
6/13/2019,0:30,El_6661,0,0.1875,66.25,1.84E-06,5,0,Open woodland,Night,Dry,4.180482671,-0.005995736,1.297003508,4.961585432,3.649429645,0.227733418,0.020089666,10.78990876,8.812117664,8.812117664,1696.104614,0.610387302,13.5829525,-1.80E-05,39734.26953,0.0265681,0.032195564,1.760847273,737585.6307,9775624.212
6/13/2019,0:30,El_6661,0,0.4375,6.25,6.79E-06,1,0,Open woodland,Night,Dry,4.138703912,-0.003688306,1.297003508,5.791465445,4.014041943,0.910513457,0.792985936,11.01854568,9.491958094,9.491958094,1706.441528,0.418831066,11.46809673,1.70E-05,40572.46094,0.02273176,0.032195564,2.119176254,736848.6283,9775197.212
6/13/2019,0:30,El_6661,0,0.5,6.25,7.59E-06,0,0,Long grassland,Night,Dry,4.290152073,-0.008265495,1.297003508,5.373241108,3.408463695,0.244507482,0.176962366,10.48565647,8.825869146,8.825869146,1690.649536,0.637115429,13.5829525,-1.10E-05,40147.37891,0.02556957,0.032195564,1.236178026,737510.6297,9775123.211
7/4/2019,23:30,El_6667,1,0.1875,12.5,0.000158167,2,0,Open woodland,Night,Dry,5.333401561,-0.04209353,0,5.096319162,2.928737252,0.369822962,0.377942983,6.419575128,6.043046217,6.043046217,1683.613647,1.585373895,12.87548065,-1.50E-05,13914.91992,0.04661276,0.044599559,1.304578282,744666.7074,9810790.285
7/4/2019,23:30,El_6667,0,0.625,51.25,2.58E-06,4,0,Long grassland,Night,Dry,5.970383525,-0.05985035,0,4.766452874,3.113407688,0.067686483,0.073348421,6.096721485,5.610095696,5.610095696,1683.613647,1.585373895,14.84268379,-1.50E-05,13530.05957,0.04504383,0.044599559,2.231681632,745115.7088,9810957.284
7/4/2019,23:30,El_6667,0,1.5625,30,1.08E-05,3,0,Long grassland,Night,Dry,5.93805182,-0.037310526,0,4.677548931,2.585762739,0.601986144,0.077129594,5.994541668,6.079105299,6.079105299,1671.971558,1.104552855,13.80272293,7.00E-06,13439.67969,0.04305544,0.044599559,4.981922561,744670.7082,9811255.286
7/4/2019,23:30,El_6667,0,1.6875,6.25,7.68E-05,1,0,Open woodland,Night,Dry,5.533260703,-0.035411492,0,5.30969114,2.363994262,1.146087518,0.823567823,6.555722021,6.811652598,6.811652598,1681.268555,1.684299769,14.01752663,-6.00E-06,13928.38965,0.04257317,0.044599559,0.929648084,743910.7058,9810969.287
